text,label
"Nice place. Rooftop bar is beautiful and the different levels allow you to roam, but a few issues...1)when we got there, tables were open on the large outside seating area at the entrance, so when we grabbed two drinks inside we sat out there. When we were about 75% complete our drinks this snooty waiter who looked like Michael Phelps afflicted with an overbite  came over to us and said we need to \""go inside. Those drinks were bought inside.\"" We asked if we could finish them and order a few more drinks with him..he said \""no\""...avoiding any eye contact...There were no signs (in French or English) anywhere suggesting u cldnt bring ur drinks from inside outside and when we questioned him on that as well as why other patrons outside had glasses like ours, he couldn't really answer. Also, when you are outside and you want to pay by credit card, you have to follow the server inside to the bar and run the card there. Slight annoyance but dumb. Second waiter was more pleasant than the first guy who gave us hassles and it is a great place to watch the hot messes parade up and down the main strip at Le Village, so I still give it 3 stars.",2
"This place is the BOMB!  My family is from Louisiana, therefore I'm familiar with the way crawfish is supposed to taste.  This restaurant is by far the best place I've ever been outside my family's kitchen. \n\nWarning: The Spicy Hot & Juicy seasoning is just that, SPICY!!! But so GOOD!!!",4
"I'm a big fan of Bobby Flay's shows (Iron Chef & Beat Bobby Flay) so I decided to splurge and take my family here for Thanksgiving dinner while visiting Vegas.\n\nBig mistake.\n\nThe food is way overpriced for what you get.  You're basically paying for the name instead of quality food.  Basic cocktails are $12+.  Desserts are $11 and not big enough to share (no I'm not a pig either).  \n\nI ordered the pork tenderloin which was $36 for 3 tiny pieces (c'mon, it's not sushi!) and a very dry tasteless \""tamale\"".  My dad and my wife had the turkey dinner for $38, again very small portions and they later told me it was cold!  My 12 year old son had the salmon which he really enjoyed, but for $32 can't you at least include 1 side??!!\n\nThe best thing I can say about the restaurant is the bread basket!  The waiter warned us of the \""spicy\"" bread which was not spicy at all - just a couple bits of jalapeno, but the cheese crust was delicious.\n\nThe service was ok, but nothing special.  It took forever to get our food (we were there for 2 hours), but I can understand that due to the holiday.  The icing on the cake was walking out and nobody at the hostess bar said thanks for coming.  After dropping $280 for 3 adults and 3 kids, I will definitely not be back!",0
There was a Groupon for Papa Murphys so we thought we would try it. I'm glad I only paid $10. I've had better frozen pizza.,1
"Li'l Porgy's good food, fast service.Top of the line B.B.Q. best in town? No, but pretty darn good, and you can see it cooking over the wood.As for the  complaint of soggy bread ask for your sauce on the side,they don't have a problem doing that for you. I do that all the time, long drive home and the bun will get soggy.The fries are always under cooked, you have to look at that as a good thing if you get it to go, you get home and finish them off and you get nice hot and crunchy fries. The tub o tips with hot sauce will take care of any B.B.Q. craving. I have never had poorly or over cook meat of any kind here.",3
"Previously I gave them 5 stars, but now only 2. As the technician just solve the problem with my AC for couple of weeks. So, when he came he diagnosed freon leak. So, he just add freon and even didn't try to search for leak. So, as the leak wasn't fixed by him, the freon that he added leaked after two weeks and again my AC WAS BLOWING WARM AIR.",1
"If you are coming to Vegas, definitely use Free Vegas Club passes! \n\nCheck out the website and choose the events or clubs depending on the date because each day, there might be a different deal! For instance, there might be one that offers free admission, while another one offers free drinks til midnight etc. So definitely, plan ahead (or not). \n\nChris is very responsive via text and makes sure your experience is flawless. When I told him I was looking for something to do after clubbing he immediately sent us a limo to a strip club and hooked us up with free drinks. This one time, the limo driver who was supposed to drive us back to our hotel did not show up for 30mins, so we took a taxi to our hotel. I told my concern to Chris and he even paid for my cabfare. I was very pleased and suprised by his gesture!\n\nI definitely recommend FVCP! It will make your Vegas experience more convenient and fun. \n\nIn short: free dranks, vip access and skip lines!",4
"This is for the famous shrimp cocktail...\n\nHave been going to the GG for shrimp cocktail for years and years.  It's always the same... great.  The shrimps aren't huge, but this is by far the best cocktail sauce.  The perfect combination of cold shrimp, cold sauce, a squeeze of lemon, and some crackers  for the dippin'.  At $1.99... this is a no brainer.  You can't go downtown without going for the Golden Gate shrimp cocktail.  And their homemade potato chips are pretty damn good too.  Play a little in the pit and the pit bosses will happily give you coupons for the shrimp.  ENJOY!",4
"Firefly needs their own entrance because walking through the Plaza just set the WRONG mood. It was as if, we had been transported back to some really bad, early 80's movie, and the patrons were slightly Deliverance like. Ay-Mommy!!!  Even the escalator had seen better days and don't get me started with the funky cigarette smell. The place needs to be detonated!\n\nLet me preface the food review by saying, I came expecting to be impressed. Well Ok, more like fed because it wasn't Espa\u00f1a and I have super high standards for tapas.  Oh how I wanted to like you, but at every turn I was rebuffed. It wasn't quite a ghost town, but it might as well have been. It was a sad state of affairs. \n\nGood- The Fremont Experience View & Getting reservations easily through Open Table. The steak was just about the only thing edible.\n\nBad- Lackluster waitstaff - Yeah, I understand- If I worked in a restaurant, in the crumbling and oh so sketchy Plaza Hotel, I too might not feel all that chipper either, but COME ON! Muster up a little faux excitement for newbies-- pretty please!!!! \n\nUgly -Just about everything we had was better off left in the kitchen. We tried the dates and I can do better at home. We tried the ham and cheese. Argh!! The fondue tasted like sweaty gym socks. The meats were like chewy leather. The salad was aight, but salads should not be a measuring stick.  The drinks were blah. I guess the atmosphere sans a large group was just plain lame. \n\nThey need to revamp the menu and relocate away from a location in decline.",1
"and almost three months AFTER my unfortunate visit to Prive, Cameron, the promotor texts me 'if you're ever in vegas again, let me know if i can hook you up!\""  oh and he's already working for a different club called OUT now??  bleeeeh.",0
"First time visited Las Vegas as the wedding invitation of my little sister. I searched on Booking apps and found \""the D\"", which stay on the middle street in downtown Vegas at s amazing price. I chose \""the D\"" and not really happy with my choice.\n\nI got the King size room at 33 floors and I am feel okay with my room at that price. The service here is great but the wall room is so thin, I mean I can hear everything voice next room lol. yes I did,  you can imagine lol.\n\nThey charge me extra money of the room because It was on weekend and the Booking apps didnt update yet. (f*ck) and I have to pay or I can choose another hotel. okay paid for it. \n\nhmmm ...",2
"This is a great team.  Bonnie is efficient, courteous, and flexible.  She drove 45+ minutes across the valley to come meet with me after work one day.  She returns phone calls very quickly, and helps to save me money.  Thank you so much for all that you do, Bonnie - your hard work is appreciated!!!",4
"Well, this used to be an on-strip outdoor attraction that featured pirates waging battle at the TI lagoon. Now the show features woefully untalented pirates booty (the sirens I guess) lip-synching to absolutely horrible music. The crowds get huge before the show, and it really is not worth the time.......especially, as they often do, cancel the show because of it being too windy. So do yourself a favor and blow by this attraction.",1
"Very, very poor customer service. I was just on the phone with an older woman trying to explain what was going on with my car (so that she could direct me to the right department) and she was unfriendly, rude, not helpful and then transferred my call when I was mid sentence! I was already a little hesitant about calling the dealership, since I am not the most knowledgable when it comes to cars. I am definitely not going to Shadyside Honda to service my car.",0
I come here often because it's in my hood and who doesn't like frozen yogurt? I always get the cake batter yogurt. It's a mom and pop joint so they don't have a large selection but enough choices to choose from.\n\nThey have all my favorite toppings so I'm satisfied. The employees always greet me and service is never an issue. It's a cute place to take your kids and to satisfy your sweet tooth during the scorching Vegas summers.,4
"Not a bad hotel to spend a few days at. Located along a stretch of road where there seems to be every chain restaurant known to man and just as many hotels. Yes, this location is a bit older and can use an upgrade but overall is pretty nice.\n\nClean rooms with comfortable beds\nFree breakfast each morning\nPool and hot tub\nExercise room\nFree wifi in all rooms\nBusiness office to use for free\nFree use of a terrific local health club\nFree cookies and candy in the lobby\nOn site guest laundry\nNew LG flat screen tv in room\nNice bathrooms with super hot water\nVery friendly and helpful staff\n\nConveniently located and not too far from Phoenix, Scottsdale, and Gilbert. Lots of shopping close by too with malls and other department stores. Also, many bars and restaurants within walking distance. Still, the surrounding area is a bit sleepy as most places close around 9-10PM. Ho-hum.\n\nBook on-line for discounts depending on length of stay, as five nights offered an 18% discount off the normal rate.",2
"Others I have known have received spectacular bouquets from them, and so I decided to use them as well on two different occasions.  Both were funeral services, and both flowers were very disappointing.  The first was a $75 poinsettia for a holiday memorial, which didn't look as good as I could have bought in a grocery store.  The second was a funeral spray with yellow carnations and some huge sunflowers.  I don't like sunflowers at all, and don't think they belong in a funeral spray.  But I left it up to the florist to make the decision on which flowers to use.  Won't make that mistake again.",1
"yummy yummy. I'm going to have to take an extra hot yoga class for this. just got a everything bagel with a mile high pile of cream cheese, too much cream cheese for the bagel but I'm just gonna eat it with my finger.",4
My Hawaiian family loves it here everytime my stepmom comes in off the road she's has a special place for them and I've grown more and more accustom to their kula pig great to go if your in town,4
"After walking by here several times I really wanted to have one of those amazing looking milkshakes.  I got the fluffer nutter, because I love peanut butter and chocolate together.  I watched the lady make the milkshake.  I saw her pull out the gallon of D milk and I thought \""great, this is super fattening.\""  I saw her pull out the jar of Skippy peanut butter and I thouht \""great, this is something I could have made at home.\""  \n\nIt came in a plastic cup that looked smaller than the pictures and there were no Reese's Peanut Butter Cup bits on the top like in the picture.  I didn't say anyting but I was pretty disappointed it did not live up to the picture and description for a $9 milkshake.",1
"Wow.  Despite the great reviews of the doctors, it isn't worth it!  I hope the office manager realizes what a terrible staff this place has.  Please note that I don't give low ratings very often.  It was just that bad.",0
"My wife and I had supper here a few weeks ago. On the whole, we enjoyed our meal and will eat there again.\n\nMy wife had the Caesar salad (mixed romaine and other lettuce (?), good dressing a bit heavy on the mustard, and lots of croutons). She liked it. I'm a bit more particular (some might say peculiar) about my Caesar salads.\n\nWe had the tomato basil mozzarella pizza with onions and sausage. The sauce was a bit on the strong side. Overall, it had good flavor, and a very nice crisp and chewy crust. But why was it not steaming hot from the oven? Was it sitting on a shelf somewhere waiting to be served to us? The place was practically empty, though they seemed to be doing a fair amount of take-out and delivery business.\n\nI ordered the meatball appetizer to go (for a lunch sandwich later in the week), which turned out to be a really good choice.\n\nFountain drink refills are 50 cents.",2
"Awesome Pizza! The place gets packed, this is good and bad! Long lines but exciting atmosphere, and if its busy means you're getting fresher Pizza, so if you are hitting up clubs in Scottsdale definitely a must try at least once!",3
"This place was awesome.  I was up near Scottsdale and wanted to take some friends to Greek so I checked Yelp the reviews did not disappoint.  I got the Gyro platter.  It was a ton of food.  The meat was great and the pitas were fresh.  Plenty of tzatziki.  One of the best Greek salads I've ever had with plenty of cheese and it was very flavorful.  The rice and potatoes were really good too and I usually don't get to excited about those at a greek place.  I also sampled the falafel (good), baklava (great), and the spanikopita (amazing).  I sort of wish this place was closer to my side of town so I could go there more often.",4
"I've only been here once, to see a friend's band, The Delta Bombers, play.\n\nI like the atmosphere...the room the band played in was pretty small though, and it filled up fast.\n\nDrinks were expensive...but I guess they were kind of standard for Freemont street.  I pulled up a recipe for the bartender, since I wanted to try something new, and he nailed it.  It was a really really good drink.  \n\nI'd probably come back again.",2
"I brought my father here because it was the only place open over the weekend. He got treated right away. The doctor and the staff were very helpful.  We really appreciated their attentiveness and promptness. My father was helped with the symptoms, left the clinic feeling better, with prescription and treatment plan that his regular doctor fully approved. The facility was clean and well stocked. I highly recommend it.",4
"The idea of Bookmans is great. Used books, movies, games, etc brought in by fellow book, movie, and game lovers so you can then purchase them at a lower price. Its the execution that needs a lot of work. I used to come in here a lot. And two years ago I probably would have rated it a lot higher than I am rating it today. I heard about this place from a family member and how you can bring in books you don't want anymore and get either store credit or cash. OMG! That is the best idea ever. Getting rid of something you don't want and then picking something out that you do! What a concept! I did this I think three or four times a few years back and was always happy with the return from books I had. I would check out the store while they were evaluating my selection and then come back with a handful of new books to buy after they told me what they would give me for mine. \n\nThe last time I came in here I brought in easily $100 worth of brand new cookbooks that I don't use anymore since becoming vegetarian. They were new cookbooks so I thought I was going to get a great deal. They wanted almost all of them, and then wanted to give me $4. Yes... $4. Umm... are these people on crack?!!? So I said, hell no and walked out with my books and then went and sold them on Amazon for almost $75. \n\nThe selection in this store is also really crappy. I looked at the cookbook section the last time I was in here, and I had never even heard of most of the books they had here. And trust me, I know what I am talking about. I am the girl you see in Barnes and Noble sitting in the cookbook section for four hours on the weekends. They were all old and tired and books obviously nobody wanted, which is why they were in this store. \n\nI wont be coming back here.",1
"Nice casual off the Aria Casino/Lobby -- away from the frenzy.  Very friendly wait staff, delightful Cobb salad at lunch.",2
"Ughhhh I walked out of this restaurant with a sick and heavy feeling in my stomach.  I'm sorry stomach, never again!\n\nMy friend ordered the quadruple bypass, and I ordered the single.  The single was way more than enough lard and meat for me.  Just to complete the whole experience we ordered the flat liner fries too.  BAD CHOICE.  The first one was tasty, the ones that followed started tasting more like soggy potatoes dipped in lard.  \n\nThe quad was just pure insanity and my friend finished it.  D: He liked it but I was on the side ready to jump up if any CPR was needed.\n\nThe ambiance was cute.  Nurse waiters and waitresses, clever movie posters that parody the grill, and patient gowns for everyone!  \n\nArtery clogging food is definitely the main game of this place.  If you really want to have a myocardial infarction, eat here.",1
"when having dim sum, you've got to have the proper service to go with it in order to enjoy it.  If the right variety of carts don't come around to your table it can totally affect your dim sum dining experience.  I usually don't write reviews based on the service but during a dim sum experience its all about the service.  It was also hard for us to enjoy the dim sum especially since we had to wait so long for the soy sauce/chili oil to get delivered.  The dim sum was not bad but they lost a star and 1/2 due to the lack of service.  The only plus is the location at the Rio, which is one of my favorite hotel/casinos. =)",1
Needed to grab some food after being at the Cigar Bar..was a nice sports bar.. I had the pastrami sliders and loaded french fries.. and OMG was it good! I want to try everything on thier menu! Their prices were good too!,3
"Save yourself time and aggravation. I ran in for a quick fix last Thursday. That was simple and easy enough, so I made an appointment for Monday at noon for mani pedi. I drove 15 mins to get there and even though their sign says they are open, the shop was closed. On top of that, i decided to wait and have lunch across the street because I really needed my pedi before my trip. I waited for 1.5 hours and they never showed up or opened up. What a joke and a total waste of time. Very unprofessional. I would NOT recommend to anyone.",0
After two prior good experiences at Elite today did not go well.  Made an appointment and dropped my dog off at 1:00.  They took over 5 hours to finish....just a bath and tidy.  Not sure what they were doing all day but it shouldn't take over 5 hours to groom a dog especially when you have an appointment.\nProbably won't be going back.,1
"After coming here with some friends because of all the good things I've heard about the one in NY, I would advise you to avoid this place. \n\nI originally would have rated Serendipity 3 maybe two or three stars, more because of the ambience and its cutesy decor, and our service was pretty good, but everything we ate was VERY subpar and overpriced. Why one star then? Well..\n\nAfter I paid about $36 (tips included) for a $14 drink and a lame-ass $16 sandwich, I went home and spent the rest of the night doubled over with extreme, vastly unpleasant stomach pain. I don't know which food item caused it, but I'm talking about stomach pain that made me want to curl up next to the toilet and wish I had never visited Serendipity 3. \n\nWe started off with a frozen hot chocolate for my friend and a \""Raspberry Truffle\"" (frozen hot choc + chambord + some other things) for me. The frozen hot chocolate was okay but I've had much better in Austin. The \""Raspberry Truffle\"" was decent-tasting and was HUGE but the chocolate shavings and such were tasteless and didn't add much to the drink. Also, it got way too sweet after awhile so I didn't finish it.\n\nNext, entrees. My friend's salad looked mediocre. But $15 for a small-ish BBQ chicken pizza that Pizza Hut could have made better? And here's what I got.. $16 for an \""Open Bries\"" sandwich with one slice of bread, a mound of sliced turkey very much like the packaged kind one gets at their local supermarket, a few slices of apple and some mayo with cranberries, topped with a few slices of brie? Yeah the sandwich was kind of huge, not to mention ridiculously hard to eat, but  the side that came with it (excellently seasoned waffle fries) was far tastier than the main dish. The concoction would have been better had it been fresh turkey.. not to mention more deserving of the $16 price tag.\n\nDon't come here.. not worth the price and potential wrath of hell to be instilled in your stomach.",0
Horrible.,0
"This wasn't an impressive buffet even for the price of ten bucks at lunch. Granted, they were carving a few meats, but none of them I personally liked. The rest of the buffet was pretty much amateur hour. The highlight was the chicken enchilada's and maybe the grilled cheese sandwiches and mexican rice. They had a weird dim sum area, but it looked like unless you were asian, you would have no clue how to order and a large tip jar also deterred me (sorry, I already payed). The soups were average and it's time to get rid of baked Potato bars around the country already. The dessert area was looking quite old, but if you must try the creme brulee cups. Average food for a good price.",1
My family is a big fan of sushi  - this is our favorite in our area. The service is always good and the sushi is always fresh and tasty. \n\nMy only complaint is that the place is a bit small and when you walk in you're never greeted - and we always end up standing in the entrance of the dining area for more than a few minutes. \n\nOther than that - I highly recommend and know I will be back to get my sushi-fix when needed!,3
"I've never been to Italy, but this is probably the closest you'll come to eating a fine Italian meal in the valley of the sun. Freshness and quality, combined with great service make this restaurant a gem to behold in the rich culinary diversity of Scottsdale.\n\nRight upon seating you are served some fresh toasted bread drizzled with olive oil. The bread slices were perfect, a good balance of crisp crust with soft, slightly chewy center. The olive oil was high quality and was very flavorful.\n\nWe ordered a variety of dishes, from pizza, to a remarkable seafood platter, to pasta. I ordered the black pasta. The pasta itself is hand made fresh, with the addition of squid ink to give it its signature dark color. I was excited to try this dish out since I've never had squid ink pasta before, and I was impressed. The pasta was cooked perfectly, with a slight salty, deep briny flavor. It went well with the sauce, langostinos, and scallops. I also tried some of the margherita pizza, which was superbly executed with a thin, crispy crust and lovely toppings. I also tried part of a meatball which was perfectly seasoned, with a delightful soft texture. My friend that had the impressive seafood platter (Lobster, clams, scallops, and possibly more!) enjoyed his meal overall, but did remark that the clams were gritty.\n\nService was very polite and impeccable. Drinks were refilled quite often, and we were checked on as needed.\n\nParking in this plaza is a bit of a pain since there are limited spots, but they do make up for it by offering free valet.\n\nThis is definitely a new favorite for Italian food for me!",3
"I've eaten at quite a few Indian places. From the other reviews and closeness to me, I wanted to like this place. However, after going, I can't. The service was inattentive, and the food wasn't what I had expected. It became very apparent to me that the place does not have an tandoor, or if they do its not used. The chicken was cooked in the sauce, but had not been spiced before. Their scale for rating the spiciness of the food [1-5] was unhelpful as that they didn't compare what a 5 is and whats a 1. Lastly, the spices used to make the dish spicy weren't dried peppers, they were full undried peppers. [The dried version takes in the moisture of the sauce and becomes part of it, the undried version doesn't]\n\nLastly, the naan bred was what appeared to be buttered pita bread.\n\nPrice: For an Indian restaurant, this was very cheap.",0
"Really nice rooms and great views! The location is fantastic, with it being right near Downtown Montreal and a 10-minute walk away from Old Montreal. It's also right beside Metro Station Bonaventure and Montreal Grand Central Station, making getting around really convenient.\n\nThe room amenities are great. (Who doesn't love free wi-fi?) The mini-bar is stocked with awesome snacks and drinks, which come at a small price, but whatevs.\n\nThe only complaints that I have are regarding the TV in our room, which had a remote with no batteries in it, and the concierge desk, for which there was no concierge. Overall, though, a really nice hotel.",3
"food turnaround was very, very fast.\n\nas for the breakfast food here...best airport grub that ive had in some time...\n\nselection of pastries and breakfast items was impressive...price wise...well, its an airport...so we wont judge based on that...BUT the food made up for it...\n\nthey happened to botch one of our orders and brought us out a new one shortly...the customer service here is very good...very good management...very well organized\n\nbest breakfast i had in arizona during my trip was the breakfast sandwich i had at the airport...how awesome is that?",3
"As a New Yorker, I was looking forward to trying out Chompie's since all my friends have said that I would love it. When I walked in, I could see why - The decor was New York themed, with the Yankees taking up a whole wall in the back and Broadway posters lining the walls by the bathroom. I sat down and looked at the menu, where I saw many familiar offerings.\n\nAfter receiving my food, however, I was disappointed. The Chopped Steak was bland and tasteless. I could not finish it. My friends that ordered other dishes didn't seem to like their meals either. The salad was okay, the fries pretty good. I would not come back for the food.\n\nThe service was lackluster too; waitresses did not refill the water often enough, and my friends soon resorted to sticking ice cubes in their mouth while waiting.\n\nVery disappointed.",1
"First,  let me confirm that this establishment has not 1, but 2 restrooms.   One for ladies and one for men.   A fellow Yelper and I exchanged messages about this before I went because that Yelper's review states that Bei does not have a restroom for customers.  It does.   The sign out front is for non-customers.  I snapped a pic of the restroom sign as evidence for others reading reviews and considering this establishment----- because I almost bypassed this restaurant because of that Yelper's information. I hope this helps.\n\nLately,  I have been into Ramen and brothy soups in general.   Miso, shrimp and pork ramen to be specific.   Take a look at the picture of my Ramen http://www.yelp.com/biz_photos/bei-scottsdale-2?selected=ovAcABgI3P5BFBUiBYQ9KA#xSczojjTQAVoXmEqcY19yw and view the pic of the Ramen posted by Yelper Britt C.  http://www.yelp.com/biz_photos/bei-scottsdale-2?selected=ovAcABgI3P5BFBUiBYQ9KA#Gx2-zZuvY5ynZbUD27BlpA  They look quite different.   Mine had a few tiny pieces of meat, a limited amount of veggies and lacked adequate broth.   I hated it!  I can honestly say the 25 cent pack of ramen I made in college was better!  The veggies tasted canned. I expected a nice piece of pork in the Ramen like the aforementioned picture by Britt C, but there were only a few flavorless tiny pieces. A well known improvisational restaurant, that has monthly ramen nights, down the street has ruined my palate to tolerate ramen any place else.   I can not say how much I hated that dish!   \n\nI ordered a spicy sushi roll that I split with a fellow Yelper.  Decent roll.  I would like to try the Bei roll one day. \n\nI went here with the international lunch group that I organize.   Everyone else ordered a bento lunch box.  They were all happy with their lunch and had a consensus 3 star meal.\n\nThere were 6 of us,  we were automatically charged a 20% gratuity.   I don't know if this is normal for everyone or if that is the case for groups.   It was not printed on the menu.   It aggravated me,  but alas wasn't a big deal.   They should print that on their menu.\n\n2 stars - I hated my dish.\n\nBecause the location is cool for me for easy access to sushi in SoScott, but considering the proximity of other sushi restos that I like better:\nReturn Factor: 15%, \n\n.",1
"Go to Walgreens instead, it is cheaper and better",1
"I've been going to this place for awhile because eating \""banh mi\"" is nostalgic to my childhood.  And it's comfort food next to eating \""pho.\""  I also keeping going back because its the only place that sells it in Chandler.  BUT... I must agree with others that they are skimping on the meat more and more each day.  AND today they skimped on the cilantro and pickled carrots/daikon.  SERIOUSLY?!  Have no clue why the wait is so long since they have so many employees standing around.  The french coffee is not traditional since they don't actually use a presser on each order, but instead its pre-mixed from their corporate office and tastes a bit chemical like.  Need to open my own banh mi shop and stop complaining :)",1
"seldom go here now that winco has most of my business but I can say the staff here is always willing to help and very nice. they have a selection of craft beers and u can build your own six pack, also they seem to have renovated the store, go HERE instead of the Walgreen across the street, youll be treated like shit.",2
The new Down Under Wines & Bistro is a vast improvement over the old place.  The staff is friendly but this place can get crowded and service can suffer as a result. I like the many unique food items they provide and they carry many of my Arizona wines and host great events for me.  If your on the East side or in Gilbert I would check it out.,3
"If you need something other than a taco or hamburger for a quick meal, try Panda for sure....\n\n1.  Chinese Food - Okay, it ain't really authentic, but close.  Too much generic vegetables like carrot and celery to fill up the dishes.  However, the food is not terrible at all.  Just kind of slopped together and kinda like putting ketchup on your scrambled egg or getting those fried chicken  meals from Albertsons or Smiths. \n\n2. Parties, Guests, Office - If you have a staff of people, you can order party trays and this is a great deal. Somehow, even though the food is decent at best, somehow when you put them in aluminum trays and big servings, it tastes better..... People that are not native to the food will find it quite edible.\n\n3.  Authenticity - I rarely see any Chinese people ordering from here. It is like going to Del Taco expecting real authentic Mexican food. You are getting the hybrid here.\n\nYou can order a side of Chow Mein and Side of Fried Rice in a party tray and it is like only 11.00 each. Now that is a great deal, \n\nTry it...you won't mind.",2
"Love Blue Fin!  The fish is grubbin' and the staff is very nice and accommodating.  I usually like to stop in after class for the dinner time eats and have come a few times during lunch to chow down.  Although I'm usually a fan of baked mussels, I'm not a fan of the one they serve here.  Like Chris V. said, it's more a lasagna/pizza approach when I'm used to the sparingly sauced types of baked mussels out in the valley.  Other than that, Blue Fin does stellar and continually warrants repeated visits from time to time.  Try out the Mexican roll and the Hawaiian roll.. both of my favs.  Enjoy!",3
Overpriced \nIcky \nNot New York pizza. \nMade my tummy hurt. \nI don't recommend going there but I gave it two stars because pizza is pizza. You're just better off with dominos or Pizza Hut.,1
Unfortunately I had a very bad experience.\nI was looking forward to my appt as I liked Marie J on initial consultation but the facial was really bad . My skin is quite inflamed after combination of microdermabrasion and aggressive extraction.I didn't get any pampering that I thought I would after paying 75$ nor did I get basics like steaming.Towels were uncomfortably hot rather warm.\nWill never go back.,0
"Huge portions and great presentation, but the food isn't very flavorful. Last time we went, we waited a lot longer than they originally told us. We noticed some people were being seated before us, even though they came way after us. After complaining, they sat us down. This was our second time here and I'm still not impressed. There are so many better breakfast places in vegas. This will be our last time.",2
"I work for a well known dealership, here in the Valley. Needless to say, I have a lot of contact with various automotive related vendors. Jesse really stands out as being exceptional!\n\nI called Jesse, and left a message at around 7am. Within minutes, Jesse called me back, on a Saturday nonetheless!! ! I explained that my vehicle was inoperable due to the windshield's condition. Jesse actually rearranged his schedule to accommodate us. \n\nI cannot fully express my gratitude to Jesse. He was prompt, courteous, and truly someone I will recommend to anyone.\n\nWhy use the big guys, when its glaringly obvious that \""the little guy\"" is the man for the job?!",4
